nomor_laporan,tanggal_kejadian,tanggal_laporan,jenis_kejahatan,sub_jenis,modus_operandi,platform,provinsi,kota_kabupaten,latitude,longitude,usia_korban,jenis_kelamin_korban,pekerjaan_korban,pendidikan_korban,estimasi_kerugian,jumlah_korban,tingkat_keparahan,status_kasus,tersangka_teridentifikasi,sumber_data,keterangan
LP/2019/0027/SBR,2019-02-15,2019-02-19,Penipuan Online,Skema Ponzi,Telepon Penipuan,Marketplace,Jawa Barat,,-6.922026,107.650485,45,P,Buruh,TD,31681679,6,tinggi,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2019/0028/SBR,2019-08-21,2019-08-28,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,Email,Daerah Istimewa Yogyakarta,,-7.813615,110.408103,22,L,Mahasiswa,S3,18927922,8,rendah,p21,0,Laporan Masyarakat,
LP/2019/0029/SBR,2019-08-14,2019-08-15,Pencurian Data,Data Pemerintah,SQL Injection,SMS,Jawa Timur,,-7.269462,112.70269,39,L,Petani,S3,65521683,27,tinggi,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0030/SBR,2019-05-14,2019-05-29,Peretasan Akun,Social Engineering,Password Lemah,Facebook,Jawa Tengah,,-6.932649,110.458654,56,P,Petani,SD,1973911,2,sedang,baru,0,Aduan Konten Kominfo,
LP/2019/0031/SBR,2019-06-07,2019-06-21,Penipuan Online,Skema Ponzi,Fake Marketplace,TikTok,Jawa Barat,,-6.939473,107.567991,18,P,Karyawan Swasta,S2,22434250,6,sedang,baru,1,Kerjasama Antar Lembaga,
LP/2019/0032/SBR,2019-04-07,2019-05-03,Penipuan Online,Skema Ponzi,Phishing,SMS,DKI Jakarta,,-6.164024,106.842103,33,P,PNS,SMP,1867679,3,rendah,selesai,1,Aduan BSSN,
LP/2019/0033/SBR,2019-05-19,2019-06-09,Penipuan Online,Jual-Beli Fiktif,Phishing,SMS,DKI Jakarta,,-6.189739,106.858324,23,P,Pelajar,SMP,25686423,7,tinggi,selesai,0,Laporan Masyarakat,
LP/2019/0034/SBR,2019-06-03,2019-06-19,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Instagram,Jawa Tengah,,-6.973348,110.402919,46,P,Petani,SMA,43955892,6,rendah,p21,0,Aduan BSSN,
LP/2019/0035/SBR,2019-08-15,2019-08-28,Konten Asusila,Penyebaran Konten,Penyebaran Massal,Email,Kalimantan Timur,,0.545263,117.127986,46,P,Tidak Bekerja,S3,4970037,2,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2019/0036/SBR,2019-05-11,2019-05-19,Penipuan Online,Jual-Beli Fiktif,Phishing,Telegram,Jawa Barat,,-6.892693,107.608658,65,L,Buruh,TD,40507285,5,sedang,dalam_penyelidikan,1,Aduan BSSN,
LP/2019/0037/SBR,2019-05-22,2019-06-09,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Marketplace,Bali,,-8.426421,115.209185,34,L,Mahasiswa,SMP,25264543,8,sedang,p21,1,Kerjasama Antar Lembaga,
LP/2019/0038/SBR,2019-03-07,2019-03-13,Akses Ilegal,SQL Injection,Brute Force,Telegram,Sumatera Selatan,,-3.011275,104.742788,36,L,Profesional,SMA,69988034,5,tinggi,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0039/SBR,2019-11-28,2019-12-22,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Twitter/X,Kalimantan Selatan,,-3.325353,114.559236,20,L,Buruh,SMP,33442311,2,tinggi,selesai,0,Laporan Masyarakat,
LP/2019/0040/SBR,2019-03-05,2019-03-30,Konten Asusila,Penyebaran Konten,Penyebaran Massal,Marketplace,Bali,,-8.383056,115.199532,56,L,Profesional,S3,4721440,2,sedang,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0041/SBR,2019-10-02,2019-10-21,Penyebaran Malware,Spyware,USB Drop,Instagram,Jawa Barat,,-6.948994,107.577181,21,L,Petani,TD,15318904,7,tinggi,p21,0,Laporan Masyarakat,
LP/2019/0042/SBR,2019-12-28,2020-01-11,Penipuan Online,Jual-Beli Fiktif,Modus Skema Ponzi,Instagram,Bali,,-8.405044,115.203663,34,P,Wiraswasta,SD,5276792,4,tinggi,baru,1,Kerjasama Antar Lembaga,
LP/2019/0043/SBR,2019-08-04,2019-08-18,Hoaks/Disinformasi,Hoaks Kesehatan,Manipulasi Foto,Marketplace,Kalimantan Selatan,,-3.32002,114.548844,19,P,IRT,S1,722131,39,rendah,baru,1,Kerjasama Antar Lembaga,
LP/2019/0044/SBR,2019-01-25,2019-02-15,Hoaks/Disinformasi,Hoaks Politik,Akun Buzzer,Marketplace,Sumatera Utara,,3.610351,98.713807,28,TD,Petani,TD,861322,35,rendah,dihentikan,0,Aduan Konten Kominfo,
LP/2019/0045/SBR,2019-03-11,2019-03-24,Penipuan Online,Skema Ponzi,Telepon Penipuan,WhatsApp,Sulawesi Selatan,,-5.152217,119.414152,37,L,Petani,SD,47051652,8,rendah,p21,0,Aduan Konten Kominfo,
LP/2019/0046/SBR,2019-10-25,2019-11-09,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,Marketplace,Banten,,-6.156699,106.129103,61,P,Karyawan Swasta,D3,42470470,8,sedang,p21,1,Laporan Masyarakat,
LP/2019/0047/SBR,2019-02-15,2019-03-17,Akses Ilegal,SQL Injection,Exploit Vulnerability,TikTok,DKI Jakarta,,-6.175328,106.893624,32,L,PNS,S3,20766039,3,sedang,baru,0,Kerjasama Antar Lembaga,
LP/2019/0048/SBR,2019-05-25,2019-06-19,Hoaks/Disinformasi,SARA,Akun Buzzer,WhatsApp,Lampung,,-5.471716,105.246556,54,P,Tidak Bekerja,TD,895916,54,rendah,selesai,0,Aduan Konten Kominfo,
LP/2019/0049/SBR,2019-09-13,2019-09-27,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,TikTok,Banten,,-6.146444,106.177854,19,L,Buruh,S3,22094112,4,tinggi,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2019/0050/SBR,2019-01-05,2019-01-21,Penyebaran Malware,Spyware,Email Lampiran,Marketplace,Jawa Tengah,,-6.925656,110.368235,26,L,Tidak Bekerja,SMA,46559574,4,kritis,baru,0,Aduan BSSN,
LP/2019/0051/SBR,2019-11-03,2019-11-30,Penipuan Online,Skema Ponzi,Telepon Penipuan,WhatsApp,Bali,,-8.397754,115.162377,60,P,Mahasiswa,SMP,22549663,7,tinggi,dalam_penyelidikan,1,Kerjasama Antar Lembaga,
LP/2019/0052/SBR,2019-03-23,2019-04-01,Pencemaran Nama,Doxing,Bot Spam,Website,DKI Jakarta,,-6.221316,106.810157,50,L,Tidak Bekerja,SMA,1894617,1,rendah,baru,1,Aduan Konten Kominfo,
LP/2019/0053/SBR,2019-10-05,2019-10-12,Konten Asusila,Pornografi Anak,Pemerasan,WhatsApp,Jawa Barat,,-6.874809,107.606325,35,P,PNS,SMP,3868405,3,sedang,dalam_penyelidikan,1,Inisiatif Polri,
LP/2019/0054/SBR,2019-12-09,2019-12-23,Penipuan Online,Skema Ponzi,Phishing,Telegram,Sulawesi Utara,,1.462936,124.827996,35,TD,Pelajar,SD,20775042,4,tinggi,dihentikan,0,Aduan BSSN,
LP/2019/0055/SBR,2019-12-02,2019-12-31,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,SMS,Lampung,,-5.419807,105.2386,29,P,Tidak Bekerja,SMA,41195250,8,sedang,p21,0,Kerjasama Antar Lembaga,
LP/2019/0056/SBR,2019-01-19,2019-01-30,Penipuan Online,Penipuan Pinjol Ilegal,Fake Marketplace,TikTok,Daerah Istimewa Yogyakarta,,-7.829636,110.332016,51,P,IRT,S1,49647832,3,rendah,selesai,1,Aduan Konten Kominfo,
LP/2019/0057/SBR,2019-06-26,2019-06-29,Pemerasan Siber,Ransomware,DDoS Threat,Telepon,Jawa Barat,,-6.866706,107.656527,52,L,Petani,SD,301433496,1,tinggi,dalam_penyelidikan,1,Aduan BSSN,
LP/2019/0058/SBR,2019-10-13,2019-11-08,Pencemaran Nama,Doxing,Bot Spam,WhatsApp,Sulawesi Selatan,,-5.135745,119.477017,37,P,Mahasiswa,SMP,1339134,2,rendah,p21,0,Kerjasama Antar Lembaga,
LP/2019/0059/SBR,2019-03-02,2019-04-01,Penipuan Online,Investasi Bodong,Phishing,Telegram,Jawa Timur,,-7.218774,112.715666,46,L,Profesional,S3,2997263,5,tinggi,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2019/0060/SBR,2019-10-14,2019-11-13,Konten Asusila,Penyebaran Konten,Sextortion,Twitter/X,Sumatera Barat,,-0.902044,100.452745,23,TD,IRT,S2,2346630,1,tinggi,baru,1,Laporan Masyarakat,
LP/2019/0061/SBR,2019-02-22,2019-02-28,Pemerasan Siber,Ransomware,Sextortion Bisnis,Telegram,Riau,,0.555982,101.476498,30,L,Profesional,D3,394512462,5,kritis,dalam_penyelidikan,0,Patroli Siber,
LP/2019/0062/SBR,2019-10-01,2019-10-09,Penipuan Online,Jual-Beli Fiktif,Phishing,Telepon,DKI Jakarta,,-6.172155,106.80878,39,P,Mahasiswa,S2,10209845,3,sedang,baru,1,Patroli Siber,
LP/2019/0063/SBR,2019-12-03,2019-12-18,Judi Online,Slot Online,Web Ilegal,Marketplace,Banten,,-6.147645,106.161811,63,P,Tidak Bekerja,S1,16041620,2,rendah,dalam_penyelidikan,0,Laporan Masyarakat,
LP/2019/0064/SBR,2019-07-22,2019-07-25,Penyebaran Malware,Trojan,Software Bajakan,SMS,Sumatera Barat,,-0.982267,100.379819,56,P,Profesional,S2,67802771,15,sedang,dalam_penyelidikan,0,Aduan BSSN,
LP/2019/0065/SBR,2019-02-26,2019-03-20,Pencurian Data,Data Pemerintah,Phishing,TikTok,Sumatera Utara,,3.590355,98.645049,38,P,Petani,S3,40712792,42,tinggi,p21,1,Aduan BSSN,
LP/2019/0066/SBR,2019-03-22,2019-04-20,Pencemaran Nama,Doxing,Akun Anonim,TikTok,Jawa Timur,,-7.297844,112.77598,25,P,Pensiunan,S2,994611,1,rendah,p21,0,Kerjasama Antar Lembaga,
LP/2019/0067/SBR,2019-12-02,2020-01-01,Pemerasan Siber,Ransomware,DDoS Threat,Marketplace,Jawa Timur,,-7.286226,112.767774,31,P,IRT,S2,204419861,5,tinggi,baru,1,Patroli Siber,
LP/2019/0068/SBR,2019-10-20,2019-11-10,Judi Online,Live Casino,Telegram,Email,Sumatera Barat,,-0.994205,100.394527,65,L,IRT,S2,22565405,3,rendah,baru,0,Inisiatif Polri,
LP/2019/0069/SBR,2019-12-21,2019-12-21,Konten Asusila,Pornografi Anak,Sextortion,Twitter/X,DKI Jakarta,,-6.22471,106.832605,63,L,Pensiunan,SMP,769719,3,sedang,selesai,1,Inisiatif Polri,
LP/2019/0070/SBR,2019-08-22,2019-09-04,Penipuan Online,Jual-Beli Fiktif,Telepon Penipuan,Instagram,DKI Jakarta,,-6.224283,106.806689,60,P,Buruh,S1,33092205,8,sedang,baru,0,Inisiatif Polri,
LP/2019/0071/SBR,2019-04-25,2019-04-29,Penipuan Online,Investasi Bodong,Modus Skema Ponzi,TikTok,Jawa Barat,,-6.947131,107.597821,62,L,Profesional,S2,17647623,5,sedang,baru,0,Laporan Masyarakat,
LP/2019/0072/SBR,2019-02-28,2019-03-10,Pencurian Data,Data Pemerintah,Credential Stuffing,Email,Jawa Tengah,,-7.005183,110.368786,37,L,Pensiunan,TD,164554173,28,tinggi,selesai,0,Laporan Masyarakat,
LP/2019/0073/SBR,2019-07-19,2019-07-31,Pencurian Data,Data Korporat,Insider Threat,Telegram,DKI Jakarta,,-6.225493,106.812413,49,P,Profesional,D3,150650125,6,tinggi,dihentikan,1,Kerjasama Antar Lembaga,
LP/2019/0074/SBR,2019-03-08,2019-03-11,Pemerasan Siber,Ransomware,DDoS Threat,Instagram,Sulawesi Selatan,,-5.179985,119.459985,48,L,Pensiunan,TD,128621642,3,tinggi,p21,0,Kerjasama Antar Lembaga,
LP/2019/0075/SBR,2019-11-11,2019-11-15,Konten Asusila,Sextortion,Sextortion,Email,Sumatera Utara,,3.604342,98.657394,21,L,Buruh,SD,3688997,1,sedang,baru,0,Laporan Masyarakat,
LP/2019/0076/SBR,2019-02-20,2019-03-11,Konten Asusila,Sextortion,Pemerasan,WhatsApp,Nusa Tenggara Barat,,-8.588327,116.147682,58,L,Pensiunan,TD,4253593,2,sedang,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2019/0077/SBR,2019-06-23,2019-06-25,Penipuan Online,Skema Ponzi,Modus Skema Ponzi,Marketplace,Kalimantan Timur,,0.509375,117.119475,40,P,Petani,S3,34359710,3,rendah,selesai,0,Laporan Masyarakat,
LP/2019/0078/SBR,2019-02-11,2019-02-14,Judi Online,Sportsbook,Telegram,Telepon,Sulawesi Selatan,,-5.101259,119.44297,26,L,Pensiunan,SMA,19722138,3,rendah,dihentikan,1,Kerjasama Antar Lembaga,
LP/2019/0079/SBR,2019-10-23,2019-11-22,Pencemaran Nama,Fitnah,Bot Spam,Facebook,Jawa Timur,,-7.240488,112.784996,64,TD,Profesional,SMP,177668,2,rendah,p21,0,Aduan BSSN,
LP/2019/0080/SBR,2019-04-11,2019-05-11,Penipuan Online,Jual-Beli Fiktif,Social Engineering,Instagram,Jawa Barat,,-6.935121,107.638612,49,P,Profesional,SD,33133089,4,rendah,p21,0,Inisiatif Polri,
LP/2019/0081/SBR,2019-03-06,2019-04-01,Penipuan Online,Investasi Bodong,Modus Skema Ponzi,Website,Jawa Timur,,-7.239864,112.725853,45,P,Buruh,D3,46996083,3,sedang,dalam_penyelidikan,1,Aduan Konten Kominfo,
LP/2019/0082/SBR,2019-11-19,2019-12-03,Peretasan Akun,Social Engineering,Password Lemah,Facebook,Jawa Barat,,-6.883011,107.639926,25,P,Karyawan Swasta,TD,16491409,2,tinggi,selesai,0,Laporan Masyarakat,
LP/2019/0083/SBR,2019-02-10,2019-02-12,Pencemaran Nama,Fitnah,Akun Anonim,TikTok,Banten,,-6.160629,106.19135,45,P,Karyawan Swasta,S3,1600371,1,rendah,baru,0,Patroli Siber,
LP/2019/0084/SBR,2019-04-01,2019-04-11,Pencurian Data,Data Pribadi,Phishing,WhatsApp,DKI Jakarta,,-6.230112,106.878576,61,P,Buruh,TD,36597423,46,tinggi,p21,0,Laporan Masyarakat,
LP/2019/0085/SBR,2019-09-24,2019-10-13,Penipuan Online,Penipuan Pinjol Ilegal,Social Engineering,Email,Sumatera Barat,,-0.984915,100.391044,57,P,Buruh,SMP,35918146,7,rendah,baru,0,Inisiatif Polri,
LP/2019/0086/SBR,2019-10-08,2019-10-30,Akses Ilegal,SQL Injection,SQL Injection,SMS,Sumatera Utara,,3.586857,98.688637,22,P,IRT,SMP,24270557,5,sedang,dihentikan,0,Inisiatif Polri,
LP/2019/0087/SBR,2019-08-02,2019-08-22,Akses Ilegal,Defacement,Exploit Vulnerability,Instagram,Jawa Timur,,-7.27302,112.775394,57,L,Pensiunan,S2,56926331,6,sedang,baru,0,Aduan BSSN,
LP/2019/0088/SBR,2019-11-15,2019-12-07,Judi Online,Slot Online,Aplikasi Pihak Ketiga,Twitter/X,DKI Jakarta,,-6.255102,106.815759,29,P,IRT,S1,17056841,3,rendah,dalam_penyelidikan,0,Inisiatif Polri,
LP/2019/0089/SBR,2019-11-07,2019-11-16,Akses Ilegal,SQL Injection,Exploit Vulnerability,Instagram,DKI Jakarta,,-6.178866,106.839295,42,P,Petani,S2,52912262,1,tinggi,dihentikan,0,Aduan Konten Kominfo,
LP/2019/0090/SBR,2019-05-26,2019-05-28,Pencurian Data,Data Pribadi,Insider Threat,Website,Daerah Istimewa Yogyakarta,,-7.83694,110.351592,35,L,Pensiunan,S3,123950760,6,tinggi,baru,0,Aduan Konten Kominfo,
LP/2019/0091/SBR,2019-06-20,2019-07-03,Penipuan Online,Skema Ponzi,Fake Marketplace,Marketplace,Lampung,,-5.41989,105.284641,18,L,Pensiunan,TD,18925098,1,rendah,baru,1,Kerjasama Antar Lembaga,
LP/2019/0092/SBR,2019-10-02,2019-10-21,Pencurian Data,Data Korporat,Insider Threat,Twitter/X,Jawa Timur,,-7.231192,112.759492,50,L,IRT,S1,51188243,44,tinggi,baru,1,Kerjasama Antar Lembaga,
LP/2019/0093/SBR,2019-09-04,2019-09-12,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,Telegram,Banten,,-6.157536,106.185583,45,L,Buruh,SMP,17967750,8,rendah,selesai,0,Aduan BSSN,
LP/2019/0094/SBR,2019-09-18,2019-09-27,Pencemaran Nama,Fitnah,Manipulasi Foto,Telepon,Bali,,-8.442091,115.175049,31,L,Mahasiswa,SMA,1869258,2,sedang,baru,0,Aduan BSSN,
LP/2019/0095/SBR,2019-09-05,2019-09-24,Akses Ilegal,XSS,Default Credentials,TikTok,Jawa Timur,,-7.225166,112.709475,37,P,Buruh,TD,16571646,2,sedang,p21,1,Inisiatif Polri,
LP/2019/0096/SBR,2019-03-14,2019-03-30,Konten Asusila,Pornografi Anak,Penyebaran Massal,Facebook,Jawa Barat,,-6.932434,107.630733,39,P,Profesional,S1,464836,1,sedang,selesai,1,Kerjasama Antar Lembaga,
LP/2019/0097/SBR,2019-11-10,2019-11-29,Pemerasan Siber,Ransomware,DDoS Threat,SMS,Jawa Barat,,-6.949281,107.625673,63,P,IRT,SD,336408837,1,tinggi,selesai,1,Laporan Masyarakat,
LP/2019/0098/SBR,2019-05-21,2019-05-27,Pemerasan Siber,Ransomware,Sextortion Bisnis,Telepon,Daerah Istimewa Yogyakarta,,-7.792642,110.382991,36,P,Tidak Bekerja,S3,461757976,5,tinggi,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2019/0099/SBR,2019-08-07,2019-08-17,Penipuan Online,Penipuan Pinjol Ilegal,Fake Marketplace,TikTok,Jawa Timur,,-7.294423,112.739154,52,L,Mahasiswa,TD,41212281,3,sedang,baru,0,Patroli Siber,
LP/2019/0100/SBR,2019-07-28,2019-08-16,Penipuan Online,Jual-Beli Fiktif,Fake Marketplace,SMS,Jawa Barat,,-6.892587,107.578783,27,P,Profesional,TD,28560547,4,tinggi,dalam_penyelidikan,1,Laporan Masyarakat,
LP/2019/0101/SBR,2019-08-08,2019-08-14,Penipuan Online,Penipuan Pinjol Ilegal,Modus Skema Ponzi,SMS,Jawa Timur,,-7.219266,112.767526,47,L,Karyawan Swasta,SMP,39647560,6,rendah,dalam_penyelidikan,0,Kerjasama Antar Lembaga,
LP/2019/0102/SBR,2019-01-13,2019-01-14,Pencurian Data,Data Pemerintah,Insider Threat,Instagram,Jawa Timur,,-7.268865,112.747135,52,L,Pensiunan,SMP,163083812,36,sedang,baru,1,Aduan BSSN,
LP/2019/0103/SBR,2019-06-25,2019-06-29,Judi Online,Live Casino,Aplikasi Pihak Ketiga,WhatsApp,Jawa Timur,,-7.303609,112.773459,47,P,PNS,SMA,7679274,3,rendah,dalam_penyelidikan,0,Patroli Siber,
LP/2019/0104/SBR,2019-05-19,2019-05-29,Pencurian Data,Data Pemerintah,Insider Threat,Twitter/X,Sumatera Utara,,3.626775,98.659036,60,L,Petani,S1,146181329,33,tinggi,selesai,0,Kerjasama Antar Lembaga,
LP/2019/0105/SBR,2019-05-21,2019-06-15,Konten Asusila,Penyebaran Konten,Pemerasan,Twitter/X,Sumatera Utara,,3.562251,98.685103,56,P,Petani,SMA,4852594,3,sedang,selesai,1,Inisiatif Polri,
LP/2019/0106/SBR,2019-01-15,2019-01-25,Pemerasan Siber,Ransomware,Sextortion Bisnis,Marketplace,DKI Jakarta,,-6.181303,106.887652,64,P,PNS,D3,274830960,2,tinggi,dalam_penyelidikan,0,Aduan Konten Kominfo,
LP/2019/0107/SBR,2019-03-15,2019-04-13,Akses Ilegal,SQL Injection,Default Credentials,Telegram,Jawa Barat,,-6.868966,107.587701,36,L,Pelajar,S1,76555103,6,sedang,p21,0,Aduan Konten Kominfo,
LP/2019/0108/SBR,2019-12-09,2019-12-18,Penipuan Online,Skema Ponzi,Fake Marketplace,Facebook,Jawa Timur,,-7.278455,112.730863,62,L,Buruh,S1,8678832,7,tinggi,p21,1,Inisiatif Polri,
LP/2019/0109/SBR,2019-05-05,2019-05-08,Penipuan Online,Jual-Beli Fiktif,Social Engineering,WhatsApp,Banten,,-6.15978,106.133329,47,L,PNS,SD,41817386,4,rendah,dihentikan,0,Patroli Siber,
LP/2019/0110/SBR,2019-08-16,2019-09-05,Pencurian Data,Data Korporat,Insider Threat,Telepon,Kalimantan Selatan,,-3.363484,114.617672,58,P,Profesional,SD,63541054,49,kritis,dihentikan,1,Patroli Siber,
LP/2019/0111/SBR,2019-07-26,2019-08-10,Peretasan Akun,Sim Swap,Phishing,WhatsApp,DKI Jakarta,,-6.228961,106.855878,38,L,Tidak Bekerja,TD,7251580,3,tinggi,selesai,1,Inisiatif Polri,
